Profile URL,Name,Price,BHKS,WhyBuy,Amenities,Swimming Pool,Gymnasium,Status,Price per Sqft,Launch Date,Possession by,Total Towers,Total Units,Project Type,Property Type,Project Area,Occupancy Certificate,Commencement Certificate,Full Address,Pincode,About Developer,Specifications,Place,1 BHK,2 BHK,3 BHK,4 BHK,5 BHK,BHK Above 5
https://www.magicbricks.com/icon-windsor-park-wakad-pune-pdpid-4d4235303231373930,Icon Windsor Park,Call For Price,2 BHKS,data not available in site,",Club House,Jogging and Strolling Track,Power Back Up,Lift,Security,Visitor Parking,Maintenance Staff,Bank & ATM,Indoor Games Room,Kids Play Area,DTH Television Facility,Flower Gardens",Detail not provided,Detail not provided,Ready To Move,data not available in site,12-Jun,15-Jun,2,90,data not available in site,data not available in site,2 Acre,Yes,Yes,"Datta Mandir Rd, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Maharashtra",411057,"Icon Group
                      	


                                Years of Experience - 41",data not available in site, Wakad,No,yes,No,No,No,No
https://www.magicbricks.com/kumar-pinnacle-bs-dhole-patil-path-pune-pdpid-4d4235303331303531,Kumar Pinnacle,Call For Price,"1, 2 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,9-Dec,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,"Tadiwala Rd,Sangamvadi,Pune, Maharashtra",411001,Kumar Properties,data not available in site,Pune,yes,yes,No,No,No,No
https://www.magicbricks.com/bliss-coast-ambe-gaon-pune-pdpid-4d4235303835303330,Bliss Coast,Call For Price,1 BHKS,data not available in site,",Club House,Coffee Lounge & Restaurants,Bar/Lounge,Outdoor Tennis Courts,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Service/Goods Lift,Visitor Parking",Yes,Detail not provided,Ready To Move,data not available in site,14-Jun,16-Oct,1,42,data not available in site,data not available in site,1 Acre,No,No,"Near By Jambhulwadi Road, Datta Nagar,Ambegaon, Pune",410509,Lipane Landmarks,data not available in site,Ambegaon,yes,No,No,No,No,No
https://www.magicbricks.com/sarvadnya-heights-kirkitwadi-pune-pdpid-4d4235323331353537,Sarvadnya Heights,Call For Price,2 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,16-Jan,data not available in site,40,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,"Kirkatwadi, Pune, Maharashtra",411024,Eden Group Pune,data not available in site, Pune,No,yes,No,No,No,No
https://www.magicbricks.com/radhey-heights-ravet-pune-pdpid-4d4235303332333834,Radhey Heights,Call For Price,1 BHKS,data not available in site,",Lift,Security,Reserved Parking,Visitor Parking,Maintenance Staff,DTH Television Facility,Rain Water Harvesting,Recreational Pool,Rentable Community Space,Retail Boulevard (Retail Shops),Water Storage,Meditation Area",Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,10-Aug,4,4,data not available in site,data not available in site,2 Acre,No,No," At Post Ravet, Teh- Haveli, Dist- Pune, Near Bhondve Corner, 412101",411044,Gopiram Developers,data not available in site, Dist- Pune,yes,No,No,No,No,No
https://www.magicbricks.com/krome-citroena-kad-nagar-pune-pdpid-4d4235303931353130,Krome Citroena,Call For Price,"2, 3 BHKS",data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,"Kad Nagar, Pune.",411060,data not available in site,data not available in site,Kad Nagar,No,yes,yes,No,No,No
https://www.magicbricks.com/wisdom-park-balewadi-pune-pdpid-4d4235303139343835,Wisdom Park,Call For Price,"3, 4 BHKS","Why Buy in this Project?
D Y Patil college (10 mins)
Rajiv Gandhi Infotech (30 mins)
Bhosari MIDC (15 mins)
PCMC Building (2 mins)
RTO Office (5 mins)
Commissioner office (5 mins)
+3 more",",Club House,Jogging and Strolling Track,Power Back Up,Swimming Pool,Lift,Security,Gymnasium,Kids Play Area,Piped Gas,Rain Water Harvesting,Grand Entrance lobby,Fire Fighting Equipment",Yes,Yes,Under Construction,data not available in site,11-Oct,data not available in site,2,65,data not available in site,data not available in site,2 Acre,Yes,Yes,data not available in site,411045,"Chandrarang Developer & Builders Pvt. Ltd,
                      	


                                Years of Experience - 10",FlooringVitrified Tiles 800 X 800 mm in all RoomsDoor & WindowsUPVC Aluminum Sliding Window with Mosquito Net with Granite SillUPVC Sliding Door or French Door for Terrace with Mosquito NetWooden Door FramesDesigner Laminated Main DoorLaminated Flush Door for all Bedrooms & Toilets DoorM.S. RailingBathroomsConcealed Plumbing with Vita Sanitary Fitting C. P. Fitting Cold & Hot Mixing Unit in each ToiletAll Toilets with Lintel Level Dado of Designer TileGranite Door Frame with F.R.P. Doors in all DoorShower Glass Partition in M. Toilet OnlyElectrificationTV & Telephone PointsConcealed Wiring with Standard Switches FittingsKitchenKitchen Platform with Granite top & Stainless Sink with Kitchen Trolley with CabinetsAqua guard UnitPaintingInternal Wall in Oil Bound Paint & Externals Walls in Apex or Sand TextOil Paint for M.S. Safety GrillsStructureRCC Frame Earthquake Resistant StructurePlasterInside: Plaster GypsumOutside: Sand Face Double Coat Cement Plaster,data not available in site,No,No,yes,yes,No,No
https://www.magicbricks.com/palash-boulevard-pirangut-pune-pdpid-4d4235303633373837,Palash Boulevard,Call For Price,"1, 2 BHKS","Why Buy in this Project?
Pirangut is a fast developing suburb of Pune. With the Pirangut industrial area coming up, the connection to Hinjewadi, the IT hub, many Educational Institutes starting up in the area; it will surely be a bustling city tomorrow.",",Club House,Jogging and Strolling Track,Cycling & Jogging Track,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Visitor Parking,Intercom Facility,Gymnasium",Yes,Yes,Ongoing,data not available in site,15-Jul,16-Dec,2,188,data not available in site,data not available in site,20 Acre,No,No,"Palash Boulevard , Behind Aditya Nisarg , Pirangut , Pune.",412111,Vilas Javdekar Developers,data not available in site, Pirangut ,yes,yes,No,No,No,No
https://www.magicbricks.com/sonchapha-wagholi-pune-pdpid-4d4235303839333838,Sonchapha,Call For Price,1 BHKS,Why Buy in this Project?,",Club House,Jogging and Strolling Track,Power Back Up,Lift,Security,Park,Reserved Parking,Service/Goods Lift,Visitor Parking,Maintenance Staff,Guest Accommodation,Gymnasium",Detail not provided,Yes,Ready To Move,data not available in site,14-Nov,16-Dec,1,86,data not available in site,data not available in site,2 Acre,No,No,"Sonchafa Near Ivy estate,Nagar Road, Wagholi Pune.",412207,Silver Oak Buildcon,"StructureRCC frame structureWalls6"" thick internal and external wallsFlooring600 x 600 vitrified tiles for toiletsWindows3 track sliding windows with mosquito mesh aluminium section with powder coatingDoorsMain Door: Designer doors with name plateToilet Doors: Internal granite and external plywood finish frame with laminate flush doorOther Doors: Plywood flush frame door with laminate finishGypsum finish with OBD paintKitchenKitchen platform with black granite stainless steel sink 2' height glazed dado tilesSanitary FittingsJaguar or equivalent makeOP FittingsJaguar or equivalent makeElectricalConcealed copper wiringTV and telephone points in living and master bedroomAC point in master bedroom",Nagar Road,yes,No,No,No,No,No
https://www.magicbricks.com/kendriya-vihar-pune-nasik-highway-pune-pdpid-4d4235303035323035,Kendriya Vihar,Call For Price,"2, 3 BHKS","Why Buy in this Project?
-Impeccable construction quality-Nigh to ACCORD Hospital",data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,10-Oct,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,data not available in site,411039,data not available in site,data not available in site,data not available in site,No,yes,yes,No,No,No
